contractNumberSys;Supplier;descriptionRu;FaktTradeMethods;faktSum;contractSumWnds;RefSubjectType
941240001944/230009/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qostanaistroy""'}";приобретение блочно-модульной котельной;{'nameRu': 'Из одного источника путем прямого заключения договора'};61535892.86;68920200.00;{'nameRu': 'Товар'}
941240001944/230010/01;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qostanaistroy""'}";приобретение блочно-модульной котельной;{'nameRu': 'Из одного источника путем прямого заключения договора'};34643035.71;38800200.00;{'nameRu': 'Товар'}
941240001944/230034/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Регистрация прав на недвижимое имущество;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;37277.52;{'nameRu': 'Услуга'}
941240001944/230033/00;"{'nameRu': 'ИП ""Сварочные и сантехнические работы""'}";Пункт водораспределительный, с номинальным давлением до 63 Мпа;{'nameRu': 'Электронный магазин'};0.00;10500000.00;{'nameRu': 'Товар'}
941240001944/230032/00;"{'nameRu': 'ИП ""Сварочные и сантехнические работы""'}";Пункт водораспределительный, с номинальным давлением до 63 Мпа;{'nameRu': 'Электронный магазин'};0.00;10500000.00;{'nameRu': 'Товар'}
941240001944/230031/00;"{'nameRu': 'ИП ""Сварочные и сантехнические работы""'}";Пункт водораспределительный, с номинальным давлением до 63 Мпа;{'nameRu': 'Электронный магазин'};0.00;10500000.00;{'nameRu': 'Товар'}
941240001944/230030/00;{'nameRu': 'Некоммерческое акционерное общество «Государственная корпорация «Правительство для граждан»'};Регистрация прав на недвижимое имущество;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;37277.52;{'nameRu': 'Услуга'}
941240001944/230029/00;"{'nameRu': 'АО ""Страховая компания ""Номад Иншуранс""'}";Услуги по страхованию автомобильного транспорта;{'nameRu': 'Из одного источника по несостоявшимся закупкам'};0.00;177044.00;{'nameRu': 'Услуга'}
941240001944/230028/00;"{'nameRu': 'АО ""Компания по страхованию жизни ""Freedom Finance Life""'}";Услуги по обязательному страхованию работника от несчастных случаев при использовании им трудовых (служебных) обязанностей;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;618335.00;{'nameRu': 'Услуга'}
941240001944/230027/00;{'nameRu': 'Филиал РГП на ПХВ «Национальный центр экспертизы» КСЭК МЗ РК по Костанайской области'};Услуги по проведению лабораторных/лабораторно-инструментальных исследований/анализов;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;48020.00;{'nameRu': 'Услуга'}
941240001944/230026/00;"{'nameRu': 'Товарищество с ограниченной ответственностью ""Qostanaistroy""'}";Котел отопительный КС-4;{'nameRu': 'Из одного источника путем прямого заключения договора'};0.00;10268380.00;{'nameRu': 'Товар'}
941240001944/230025/00;{'nameRu': 'ИП Нармагамбетова'};Кран шаровой ПЭ компрессионный 32-32синий Poelsan;{'nameRu': 'Запрос ценовых предложений'};0.00;38500.00;{'nameRu': 'Товар'}
941240001944/230024/00;{'nameRu': 'ИП ASPARA'};Труба полиэтиленовая для водоснабжения диметром 32мм;{'nameRu': 'Запрос ценовых предложений'};0.00;198100.00;{'nameRu': 'Товар'}
941240001944/230023/00;{'nameRu': 'ИП ASPARA'};Труба полиэтиленовая для водоснабжения диметром 50мм;{'nameRu': 'Запрос ценовых предложений'};0.00;375200.00;{'nameRu': 'Товар'}
